1342196875 |  373 | Neptune              | SSO |  22:03:28.04 | -12:24:31.85 |   -2.59913 | Sat May 22 14:00:32 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | Calibration_rppacs_22    |  1243 |   1  | 
1342196876 |  373 | Neptune              | SSO |  22:03:28.04 | -12:24:30.80 |   -2.61925 | Sat May 22 14:31:06 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | Calibration_rppacs_22    |  2133 |   1  | 
1342196877 |  373 | Neptune              | SSO |  22:03:28.07 | -12:24:30.40 |   -2.64923 | Sat May 22 15:16:38 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | small  |     | pointed                       | Calibration_rppacs_22    |  3041 |   1  | 
1342197790 |  387 | V HYA                |     |  10:51:37.25 | -21:15:00.30 |   -7.64434 | Sat Jun 05 07:56:09 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  4605 |   1  | SED B2B 140.00-220.00 x2 
1342197791 |  387 | V HYA                |     |  10:51:37.25 | -21:15:00.30 |   -7.60992 | Sat Jun 05 08:54:29 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2124 |   1  | SED B2A 102.00-146.00 x2 
1342197792 |  387 | AG CAR               |     |  10:56:11.58 | -60:27:12.80 |  -19.62295 | Sat Jun 05 09:57:43 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  4605 |   1  | SED B2B 140.00-220.00 x2 
1342197793 |  387 | AG CAR               |     |  10:56:11.58 | -60:27:12.80 |  -19.60673 | Sat Jun 05 10:56:03 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2124 |   1  | SED B2A 102.00-146.00 x2 
1342197794 |  387 | R DOR                |     |  04:36:45.59 | -62:04:37.80 |    5.63494 | Sat Jun 05 11:31:27 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342197795 |  387 | R DOR                |     |  04:36:45.59 | -62:04:37.80 |    5.63202 | Sat Jun 05 12:01:55 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342197799 |  387 | CIT 6                |     |  10:16:02.27 |  30:34:18.60 |   18.98462 | Sat Jun 05 14:38:11 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342197800 |  387 | CIT 6                |     |  10:16:02.27 |  30:34:18.60 |   19.00357 | Sat Jun 05 15:08:40 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342197802 |  387 | X HER                |     |  16:02:39.17 |  47:14:25.30 |  -19.26884 | Sat Jun 05 16:33:05 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342197803 |  387 | X HER                |     |  16:02:39.17 |  47:14:25.30 |  -19.26252 | Sat Jun 05 17:03:33 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
